[regular] uni1E00: added inherited anchor class 0 = (354, 850) from 'A'
[regular] uni1E01: added inherited anchor class 0 = (209, 645) from 'a'
[regular] uni1E04: added inherited anchor class 0 = (267, 850) from 'B'
[regular] uni1E05: added inherited anchor class 0 = (279, 885) from 'b'
[regular] uni1E06: added inherited anchor class 0 = (267, 850) from 'B'
[regular] uni1E07: added inherited anchor class 0 = (279, 885) from 'b'
[regular] uni1E0C: added inherited anchor class 0 = (306, 850) from 'D'
[regular] uni1E0D: added inherited anchor class 0 = (235, 885) from 'd'
[regular] uni1E0E: added inherited anchor class 0 = (306, 850) from 'D'
[regular] uni1E0F: added inherited anchor class 0 = (235, 885) from 'd'
[regular] uni1E10: added inherited anchor class 0 = (306, 850) from 'D'
[regular] uni1E11: added inherited anchor class 0 = (235, 885) from 'd'
[regular] uni1E12: added inherited anchor class 0 = (306, 850) from 'D'
[regular] uni1E13: added inherited anchor class 0 = (235, 885) from 'd'
[regular] uni1E18: added inherited anchor class 0 = (281, 850) from 'E'
[regular] uni1E19: original base anchor class 0 exists {0: (231, 645)}
[regular] uni1E1A: added inherited anchor class 0 = (281, 850) from 'E'
[regular] uni1E1B: original base anchor class 0 exists {0: (231, 645)}
[regular] uni1E24: added inherited anchor class 0 = (361, 850) from 'H'
[regular] uni1E25: added inherited anchor class 0 = (282, 885) from 'h'
[regular] uni1E28: added inherited anchor class 0 = (361, 850) from 'H'
[regular] uni1E29: added inherited anchor class 0 = (282, 885) from 'h'
[regular] uni1E2A: added inherited anchor class 0 = (361, 850) from 'H'
[regular] uni1E2B: added inherited anchor class 0 = (282, 885) from 'h'
[regular] uni1E2C: original base anchor class 0 exists {0: (146, 850)}
[regular] uni1E32: added inherited anchor class 0 = (336, 850) from 'K'
[regular] uni1E33: added inherited anchor class 0 = (272, 885) from 'k'
[regular] uni1E34: added inherited anchor class 0 = (336, 850) from 'K'
[regular] uni1E35: added inherited anchor class 0 = (272, 885) from 'k'
[regular] uni1E36: added inherited anchor class 0 = (151, 850) from 'L'
[regular] uni1E37: added inherited anchor class 0 = (135, 885) from 'l'
[regular] uni1E3A: added inherited anchor class 0 = (151, 850) from 'L'
[regular] uni1E3B: added inherited anchor class 0 = (135, 885) from 'l'
[regular] uni1E3C: added inherited anchor class 0 = (151, 850) from 'L'
[regular] uni1E3D: added inherited anchor class 0 = (135, 885) from 'l'
[regular] uni1E42: added inherited anchor class 0 = (431, 850) from 'M'
[regular] uni1E43: added inherited anchor class 0 = (392, 645) from 'm'
[regular] uni1E46: added inherited anchor class 0 = (346, 850) from 'N'
[regular] uni1E47: added inherited anchor class 0 = (264, 646) from 'n'
[regular] uni1E48: added inherited anchor class 0 = (346, 850) from 'N'
[regular] uni1E49: added inherited anchor class 0 = (264, 646) from 'n'
[regular] uni1E4A: added inherited anchor class 0 = (346, 850) from 'N'
[regular] uni1E4B: added inherited anchor class 0 = (264, 646) from 'n'
[regular] uni1E5A: added inherited anchor class 0 = (269, 850) from 'R'
[regular] uni1E5B: added inherited anchor class 0 = (191, 646) from 'r'
[regular] uni1E5E: added inherited anchor class 0 = (269, 850) from 'R'
[regular] uni1E5F: added inherited anchor class 0 = (191, 646) from 'r'
[regular] uni1E62: added inherited anchor class 0 = (232, 850) from 'S'
[regular] uni1E63: added inherited anchor class 0 = (206, 645) from 's'
[regular] uni1E6C: added inherited anchor class 0 = (307, 850) from 'T'
[regular] uni1E6D: added inherited anchor class 0 = (139, 769) from 't'
[regular] uni1E6E: added inherited anchor class 0 = (307, 850) from 'T'
[regular] uni1E6F: added inherited anchor class 0 = (139, 769) from 't'
[regular] uni1E70: added inherited anchor class 0 = (307, 850) from 'T'
[regular] uni1E71: added inherited anchor class 0 = (139, 769) from 't'
[regular] uni1E72: original base anchor class 0 exists {0: (346, 850)}
[regular] uni1E73: original base anchor class 0 exists {0: (255, 645)}
[regular] uni1E74: added inherited anchor class 0 = (346, 850) from 'U'
[regular] uni1E75: added inherited anchor class 0 = (255, 645) from 'u'
[regular] uni1E76: added inherited anchor class 0 = (346, 850) from 'U'
[regular] uni1E77: added inherited anchor class 0 = (255, 645) from 'u'
[regular] uni1E7E: added inherited anchor class 0 = (336, 850) from 'V'
[regular] uni1E7F: added inherited anchor class 0 = (256, 646) from 'v'
[regular] uni1E88: added inherited anchor class 0 = (450, 850) from 'W'
[regular] uni1E89: added inherited anchor class 0 = (345, 646) from 'w'
[regular] uni1E92: added inherited anchor class 0 = (320, 850) from 'Z'
[regular] uni1E93: added inherited anchor class 0 = (220, 645) from 'z'
[regular] uni1E94: added inherited anchor class 0 = (320, 850) from 'Z'
[regular] uni1E95: added inherited anchor class 0 = (220, 645) from 'z'
[regular] uni1E96: added inherited anchor class 0 = (282, 885) from 'h'
[regular] uni1EA0: added inherited anchor class 0 = (354, 850) from 'A'
[regular] uni1EA1: added inherited anchor class 0 = (209, 645) from 'a'
